18, Private, 469921, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
18, Private, 376647, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 2176, 0, 25, United-States, <=50K
48, Private, 101299, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
45, Private, 96798, 5th-6th, 3, Divorced, Transport-moving, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 194654, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, State-gov, 206889, Assoc-acdm, 12, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 226902, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
44, State-gov, 150755, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 5013, 0, 40, United-States, <=50K
24, Private, 200679, HS-grad, 9, Never-married, Farming-fishing, Own-child, Black, Male, 0, 0, 50, United-States, <=50K
71, Private, 183678, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 16, United-States, <=50K
17, Private, 33138, 12th, 8, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
57, Self-emp-not-inc, 57071, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 3137, 0, 40, United-States, <=50K
71, ?, 35303, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 9386, 0, 30, United-States, >50K
37, Private, 188576, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, ?, <=50K
33, Private, 169496, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 58124, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 356344, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
42, Self-emp-not-inc, 444134, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 15, United-States, <=50K
18, ?, 340117, 11th, 7, Never-married, ?, Unmarried, Black, Female, 0, 0, 50, United-States, <=50K
34, Private, 219619, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
57, ?, 334585, 10th, 6, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 40, United-States, <=50K
27, Local-gov, 331046, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
46, ?, 443179, Bachelors, 13, Divorced, ?, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K
64, ?, 239529, 11th, 7, Widowed, ?, Not-in-family, White, Female, 3674, 0, 35, United-States, <=50K
24, Private, 100345, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, <=50K
23, Private, 205653, Bachelors, 13, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States, <=50K
33, Private, 112383, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
58, Self-emp-inc, 21626, Assoc-voc, 11, Divorced, Sales, Not-in-family, White, Male, 2202, 0, 56, United-States, <=50K
25, Private, 135568, 9th, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 190532, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K
53, Federal-gov, 266598, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
38, Local-gov, 116608, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, >50K
36, Private, 353263, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
25, State-gov, 157617, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
54, Federal-gov, 21698, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
31, Private, 77143, 12th, 8, Separated, Transport-moving, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
18, State-gov, 342852, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 176602, HS-grad, 9, Divorced, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
26, Private, 146343, Some-college, 10, Married-civ-spouse, Sales, Wife, Black, Female, 0, 0, 40, United-States, <=50K
68, ?, 146645, Doctorate, 16, Married-civ-spouse, ?, Husband, White, Male, 20051, 0, 50, United-States, >50K
33, Private, 221966, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 2202, 0, 50, United-States, <=50K
22, Private, 215546, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
50, State-gov, 173020, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
24, ?, 247734, Bachelors, 13, Never-married, ?, Own-child, White, Male, 0, 0, 30, United-States, <=50K
44, Private, 252202, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
37, Private, 497300, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
34, Self-emp-not-inc, 426431, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Federal-gov, 162410, Some-college, 10, Widowed, Tech-support, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
77, ?, 143516, Masters, 14, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 8, United-States, >50K
25, Private, 190350, 10th, 6, Married-civ-spouse, Other-service, Own-child, White, Female, 0, 0, 35, United-States, <=50K
20, Private, 194504, Some-college, 10, Separated, Sales, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
46, Federal-gov, 110884, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
26, Private, 187652, Assoc-acdm, 12, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 81400, 1st-4th, 2, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 25, El-Salvador, <=50K
70, ?, 97831, HS-grad, 9, Widowed, ?, Unmarried, White, Female, 0, 0, 4, United-States, <=50K
57, Private, 180920, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
28, Private, 189186, Assoc-voc, 11, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, ?, 144172, Assoc-acdm, 12, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 16, United-States, <=50K
36, Private, 607848, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 45, United-States, >50K
32, Private, 207301, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 293073, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
36, Private, 210452, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Male, 0, 0, 45, United-States, <=50K
19, Private, 41400, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States, <=50K
27, Private, 164170, Bachelors, 13, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female, 0, 0, 20, Philippines, <=50K
48, Private, 112906, Masters, 14, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 55, United-States, >50K
49, Self-emp-not-inc, 126268, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
55, Private, 208311, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1977, 20, United-States, >50K
61, Private, 28291, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, White, Female, 0, 0, 82, United-States, <=50K
42, Local-gov, 121998, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States, >50K
42, Federal-gov, 31621, Assoc-acdm, 12, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Local-gov, 108386, Assoc-voc, 11, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Self-emp-not-inc, 134727, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 208391, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
35, Private, 112271, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
30, Private, 173350, Assoc-voc, 11, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 243190, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 20, India, >50K
55, Private, 185436, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, >50K
36, Private, 290409, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 80058, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 48, United-States, <=50K
56, Local-gov, 370045, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 36936, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2002, 40, United-States, <=50K
37, Private, 231180, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 119793, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 60, United-States, <=50K
38, Private, 102178, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
76, ?, 135039, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 20, United-States, <=50K
35, ?, 317780, Some-college, 10, Never-married, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
48, Private, 232840, Some-college, 10, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 43, United-States, <=50K
35, Private, 33975, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, Local-gov, 256997, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
64, Private, 298301, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 310380, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
45, Local-gov, 182100, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 501172, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, Mexico, <=50K
43, State-gov, 143939, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 50, United-States, >50K
23, Private, 85088, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 37, United-States, <=50K
25, Private, 282313, 10th, 6, Never-married, Handlers-cleaners, Own-child, Black, Male, 0, 1602, 40, United-States, <=50K
39, Private, 230054, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
63, Private, 236338, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 35, United-States, <=50K
37, Private, 321943, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Federal-gov, 218782, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Other, Male, 0, 0, 40, United-States, <=50K
33, Private, 191385, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, Canada, <=50K
45, Self-emp-inc, 185497, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female, 0, 0, 70, ?, <=50K
28, Private, 126129, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
20, Private, 199268, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
34, Private, 255693, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 20, United-States, <=50K
34, Private, 203488, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 203233, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
38, Private, 203836, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
36, Private, 187847, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 40, United-States, >50K
38, Private, 116358, Some-college, 10, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
46, Self-emp-inc, 198660, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 72, United-States, >50K
43, Self-emp-not-inc, 89636, Bachelors, 13, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, 0, 0, 60, South, <=50K
49, Private, 120629, Some-college, 10, Widowed, Sales, Unmarried, White, Female, 0, 0, 30, United-States, <=50K
26, Local-gov, 150226, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 35, United-States, <=50K
28, Private, 137898, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
54, Self-emp-inc, 146574, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
53, Private, 88725, HS-grad, 9, Never-married, Craft-repair, Not-in-family, Other, Female, 0, 0, 40, ?, <=50K
24, Private, 142022, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 50, United-States, <=50K
23, Private, 284898, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 30, United-States, <=50K
55, Local-gov, 212448, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
58, Self-emp-not-inc, 203039, 9th, 5, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 227489, HS-grad, 9, Never-married, Tech-support, Other-relative, Black, Male, 0, 0, 40, ?, <=50K
19, Private, 105289, 10th, 6, Never-married, Other-service, Other-relative, Black, Female, 0, 0, 20, United-States, <=50K
28, ?, 223745, Some-college, 10, Never-married, ?, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
45, Private, 242994, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 52, United-States, <=50K
30, Private, 196385, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K
76, Private, 116202, HS-grad, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 33, United-States, <=50K
47, Private, 140045, HS-grad, 9, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
34, Private, 133503, Some-college, 10, Divorced, Transport-moving, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
40, Private, 226585, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, >50K
24, Private, 85041, HS-grad, 9, Separated, Other-service, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
30, Private, 162442, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 7688, 0, 50, United-States, >50K
67, Private, 279980, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 10605, 0, 10, United-States, >50K
24, Private, 216563, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K
43, Local-gov, 231964, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 263855, 12th, 8, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 124915, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
61, Federal-gov, 178312, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Local-gov, 215862, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 45, United-States, >50K
21, State-gov, 39236, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
58, Private, 349910, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 40, United-States, >50K
52, Private, 75839, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 176711, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 266525, Some-college, 10, Never-married, Prof-specialty, Other-relative, Black, Female, 594, 0, 20, United-States, <=50K
25, ?, 34307, Some-college, 10, Never-married, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 331776, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
54, Private, 111469, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
43, State-gov, 198965, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
25, Private, 288185, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
21, Private, 198050, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
65, Private, 242580, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 11678, 0, 50, United-States, >50K
37, Private, 173128, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 87905, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 10520, 0, 40, United-States, >50K
44, Private, 173704, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
37, Federal-gov, 93225, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7688, 0, 40, United-States, >50K
38, Private, 323269, Some-college, 10, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 40, United-States, <=50K
35, Private, 158046, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 5013, 0, 70, United-States, <=50K
32, Private, 133503, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Self-emp-not-inc, 172296, Some-college, 10, Separated, Sales, Unmarried, White, Male, 0, 0, 60, United-States, <=50K
39, ?, 201105, Bachelors, 13, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 30, United-States, <=50K
23, Private, 176486, Some-college, 10, Never-married, Other-service, Other-relative, White, Female, 0, 0, 25, United-States, <=50K
25, Self-emp-inc, 182750, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
23, Private, 82497, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 28, United-States, <=50K
47, Private, 208872, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 145269, 11th, 7, Divorced, Craft-repair, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
25, Private, 19214, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 149347, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
68, ?, 53850, 7th-8th, 4, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
50, Private, 158294, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 3103, 0, 40, United-States, >50K
47, Private, 152073, HS-grad, 9, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 189623, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
24, Private, 341368, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 201603, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 2176, 0, 40, United-States, <=50K
35, Private, 270572, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
30, Private, 285295, Bachelors, 13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, <=50K
17, Private, 126779, 11th, 7, Never-married, Other-service, Own-child, Black, Male, 0, 0, 20, United-States, <=50K
49, ?, 202874, HS-grad, 9, Separated, ?, Unmarried, White, Female, 0, 0, 40, Columbia, <=50K
27, Private, 373499, 5th-6th, 3, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 60, El-Salvador, <=50K
22, Private, 244773, HS-grad, 9, Never-married, Sales, Own-child, Black, Female, 0, 0, 15, United-States, <=50K
22, State-gov, 96862, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
50, Private, 162632, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 2, United-States, <=50K
51, Self-emp-not-inc, 159755, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 38, United-States, >50K
27, Private, 37088, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 30, United-States, <=50K
27, Private, 335421, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
23, Never-worked, 188535, 7th-8th, 4, Divorced, ?, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
20, State-gov, 349365, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 33002, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States, <=50K
32, Private, 330715, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 99999, 0, 40, United-States, >50K
45, Private, 146857, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 38, United-States, >50K
35, Private, 275522, 7th-8th, 4, Widowed, Other-service, Unmarried, White, Female, 0, 0, 80, United-States, <=50K
22, Private, 43646, HS-grad, 9, Married-civ-spouse, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 154548, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
28, Private, 47907, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 238397, Bachelors, 13, Divorced, Priv-house-serv, Unmarried, White, Female, 0, 0, 24, United-States, <=50K
48, Local-gov, 195949, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 42, United-States, >50K
22, ?, 354351, Some-college, 10, Never-married, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 349169, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K
25, Private, 158662, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 50, United-States, >50K
23, Local-gov, 23438, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 107302, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K
43, Private, 174196, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
49, Local-gov, 226871, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, >50K
23, Private, 124971, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
57, Private, 214061, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 441700, Bachelors, 13, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
44, Self-emp-inc, 104892, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 58, United-States, >50K
34, Private, 234386, Assoc-acdm, 12, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
